,,,,"eco-indicator 99, (H,A):ecosystem quality:total","eco-indicator 99, (H,A):human health:total","eco-indicator 99, (H,A):resources:total","eco-indicator 99, (H,A):total:total","ReCiPe Endpoint (H,A):ecosystem quality:total","ReCiPe Endpoint (H,A):human health:total","ReCiPe Endpoint (H,A):resources:total","ReCiPe Endpoint (H,A):total:total",ReCiPe Midpoint (H) V1.13 no LT:agricultural land occupation:ALOP,ReCiPe Midpoint (H) V1.13 no LT:climate change:GWP100,ReCiPe Midpoint (H) V1.13 no LT:fossil depletion:FDP,ReCiPe Midpoint (H) V1.13 no LT:freshwater ecotoxicity:FETPinf,ReCiPe Midpoint (H) V1.13 no LT:freshwater eutrophication:FEP,ReCiPe Midpoint (H) V1.13 no LT:human toxicity:HTPinf,ReCiPe Midpoint (H) V1.13 no LT:ionising radiation:IRP_HE,ReCiPe Midpoint (H) V1.13 no LT:marine ecotoxicity:METPinf,ReCiPe Midpoint (H) V1.13 no LT:marine eutrophication:MEP,ReCiPe Midpoint (H) V1.13 no LT:metal depletion:MDP,ReCiPe Midpoint (H) V1.13 no LT:natural land transformation:NLTP,ReCiPe Midpoint (H) V1.13 no LT:ozone depletion:ODPinf,ReCiPe Midpoint (H) V1.13 no LT:particulate matter formation:PMFP,ReCiPe Midpoint (H) V1.13 no LT:photochemical oxidant formation:POFP,ReCiPe Midpoint (H) V1.13 no LT:terrestrial acidification:TAP100,ReCiPe Midpoint (H) V1.13 no LT:terrestrial ecotoxicity:TETPinf,ReCiPe Midpoint (H) V1.13 no LT:urban land occupation:ULOP,ReCiPe Midpoint (H) V1.13 no LT:water depletion:WDP
551,11568,glucose//[RoW] glucose production,C(C1C(C(C(C(O1)O)O)O)O)O,0.14748481,0.081616399,0.033844436,0.26294565,0.099425844,0.065340502,0.048231146,0.21299749,1.562785,1.3480536,0.37722351,0.004280324,0.000210431,0.18837874,0.05449603,0.002374971,0.010980505,0.085047387,-8.55362E-05,8.65679E-08,0.003410978,0.004200138,0.010350199,0.004199116,0.038444575,0.042497819
557,15585,glycerine//[RoW] esterification of palm oil,C(C(CO)O)O,0.17043665,0.063934513,0.021255786,0.25562695,0.16941327,0.087861638,0.022979536,0.28025444,1.476133,2.3519923,0.20427654,0.02254004,0.00011455,0.082688944,0.011344189,0.002503586,0.011905759,0.01784346,-3.26187E-05,4.69649E-08,0.003432629,0.005297744,0.00755264,0.13635667,0.009485018,0.036659683
562,11570,glycine//[RoW] glycine production,C(C(=O)O)N,0.028965186,0.22320195,0.2023844,0.45455154,0.098633717,0.23138447,0.25728721,0.58730539,0.19716615,4.7419195,2.1290842,0.019982291,0.000389613,0.95847424,0.26839313,0.014717301,0.00531906,0.22661401,-0.000306861,1.48308E-06,0.011010864,0.015404426,0.02179465,0.004993781,0.038929086,0.10518605
563,11571,glyoxal//[RoW] glyoxal production,C(=O)C=O,0.010539974,0.13508039,0.17196787,0.31758823,0.05744951,0.13031124,0.19242595,0.3801867,0.065003341,3.0504428,1.626062,0.00197116,0.000157453,0.19413352,0.083372814,0.002000798,0.000257111,0.072337504,-0.000128345,8.63387E-08,0.005748807,0.008618117,0.01006056,0.00011108,0.011284112,0.04481339
564,11572,glyphosate//[RoW] glyphosate production,C(C(=O)O)NCP(=O)(O)O,0.066961028,0.55261957,0.33342169,0.95300229,0.23636575,0.66197001,0.50626072,1.4045965,0.58449498,11.18904,4.183785,0.02445261,0.01171707,1.7119633,0.61080541,0.025722714,0.003775622,0.4355011,-0.000751766,2.42819E-06,0.028372099,0.037054081,0.049159029,0.004909229,0.092465812,0.2659099
611,14808,"hexafluoroethane//[GLO] hexafluoroethane production, from fluorination of tetrafluoroethane",C(C(F)(F)F)(F)(F)F,0.072503218,0.60086177,0.28700159,0.96036658,0.21737921,0.56464459,0.46823458,1.2502584,0.52384661,10.698904,3.7919294,0.009662486,0.001060362,1.4674809,0.68072883,0.01533979,0.001500564,0.49958595,-0.000745021,2.15418E-06,0.030585842,0.05419742,0.063706256,0.001035069,0.08106591,0.18337282
621,4559,hydrazine sulfate//[GLO] hydrazine sulfate production,NN.OS(=O)(=O)O,0.040810526,0.30036031,0.15041143,0.49158227,0.11330188,0.28459711,0.23668851,0.63458751,0.28233944,5.5103158,1.882439,0.31177313,0.000567528,0.83510567,0.31068001,0.01119454,0.017461282,0.32893966,-0.000394326,2.4159E-06,0.014568172,0.016570821,0.030687752,0.058119072,0.048939829,0.1379702
622,11729,hydrazine//[RoW] hydrazine production,NN,0.086619491,0.67842125,0.36658535,1.1316261,0.27397384,0.6660092,0.56325015,1.5032332,0.56285181,13.594068,4.5401191,1.1525701,0.001163502,1.9442077,0.65645587,0.030295021,0.023737922,0.65046551,-0.0008956,5.66888E-06,0.03358586,0.037965742,0.06530392,0.2232301,0.10912589,0.31492031
626,11730,"hydrochloric acid, without water, in 30% solution state//[RoW] hydrochloric acid production, from the reaction of hydrogen with chlorine",Cl,0.008953729,0.084806326,0.03085925,0.1246193,0.030238005,0.0813368,0.059237057,0.17081186,0.063022589,1.4977463,0.4652468,0.001203496,0.000145859,0.56592455,0.069315039,0.008430815,0.000220684,0.075993408,-0.000109705,5.95301E-07,0.00413788,0.004328072,0.006529577,0.000922633,0.011988648,0.026876103
629,11732,hydrogen cyanide//[RoW] hydrogen cyanide production,C#N,0.005543781,0.084172755,0.34211892,0.43183545,0.12808985,0.23386672,0.31410638,0.67606296,0.000834478,7.288216,3.0775223,0.001651504,0.000417518,0.032168889,0.000586251,0.000558133,0.00109773,0.001270979,-1.67149E-06,2.66379E-09,0.004474906,0.013306079,0.012871421,6.29559E-05,0.000585658,0.030993636
632,10623,hydrogen fluoride//[RoW] hydrogen fluoride production,F,0.026816454,0.14216234,0.080728339,0.24970714,0.030982499,0.10903152,0.097578665,0.23759268,0.11408778,1.3585586,0.7406956,0.003061852,0.000320238,0.38940772,0.067906821,0.004878834,0.000285453,0.26667034,-0.000148592,1.58682E-07,0.006791653,0.008347804,0.021396502,0.000266169,0.020749744,0.053421244
635,11733,"hydrogen peroxide, without water, in 50% solution state//[RoW] hydrogen peroxide production, product in 50% solution state",OO,0.016534513,0.055967256,0.048952797,0.12145457,0.027422556,0.063574894,0.062902016,0.15389947,0.040243503,1.414357,0.5298264,0.001358219,9.60543E-05,0.11020288,0.041551186,0.001459937,0.000261914,0.042382289,-6.61716E-05,1.06382E-07,0.002569441,0.003929776,0.004873353,0.000415607,0.006309297,0.074233143
636,11734,hydrogen sulfide//[RoW] hydrogen sulfide production,S,0.004671397,0.032875088,0.12864051,0.166187,0.015894181,0.035159093,0.12423446,0.17528773,0.02592322,0.7326323,1.1167825,0.005126062,5.62794E-05,0.12553141,0.072848014,0.002192009,8.76301E-05,0.040741629,-4.38231E-05,2.0797E-07,0.001684582,0.002908244,0.003985466,0.000109092,0.005050335,0.020569552
645,15498,"hydrogen, liquid//[RoW] potassium hydroxide production",[HH],0.026527664,0.22512947,0.10221593,0.35387306,0.091850662,0.21991971,0.17635201,0.48812238,0.22846263,4.5462219,1.4249521,0.004014675,0.000384799,0.44455682,0.1693678,0.004897465,0.000500379,0.20869135,-0.000354333,2.4337E-07,0.011027448,0.012888336,0.019607113,0.000232123,0.062793343,0.031700754
646,11739,hydroquinone//[RoW] hydroquinone production,C1=CC(=CC=C1O)O,0.020673135,0.14499918,0.21726056,0.38293287,0.071350697,0.1637152,0.25719363,0.49225953,0.10222302,3.6961629,2.1608728,0.003456043,0.000233693,0.23404113,0.086711023,0.003159196,0.000382363,0.11127129,-0.000201351,1.41848E-07,0.007318906,0.016693816,0.013349751,0.000296896,0.023744255,0.072181942
647,11740,hydroxylamine//[RoW] hydroxylamine production,NO,0.11685729,0.93401677,0.7307616,1.7816357,0.31491489,1.101697,0.84757426,2.2641861,0.53886546,15.610304,7.2231885,0.029002482,0.001068367,1.8746405,0.82577395,0.029011818,0.098315616,0.68767072,-0.000829209,2.64566E-06,0.07324143,0.059981733,0.27918554,0.002022402,0.10942846,0.31051018
649,11741,imidazole//[RoW] imidazole production,C1=CN=CN1,0.022605943,0.19564326,0.29244908,0.51069829,0.095865021,0.21295333,0.31288397,0.62170232,0.10511812,4.9916376,2.7205621,0.008432831,0.000258072,0.55238463,0.14973472,0.006779689,0.01041329,0.15689359,-0.000205146,3.87027E-07,0.008884793,0.014015207,0.019300265,0.000495454,0.023520556,0.083689788
683,11775,"indium tin oxide powder, nanoscale, for sputtering target//[RoW] indium tin oxide powder production, nanoscale, for sputtering target",O.[In].[Sn],2.1509306,2.7439799,1.2061986,6.1011091,0.58447565,2.1477829,2.1831279,4.9153865,1.1491413,29.06978,8.0781397,0.022461693,0.008335817,21.674654,0.78089215,0.30256264,0.007136294,26.459443,-0.00339589,1.71536E-06,0.097491579,0.15068883,0.22335626,0.013379544,0.22691614,0.25939534
684,11773,indium//[RoW] indium production,[In],21.622494,23.350283,8.8733302,53.846107,4.2878877,17.674746,12.022066,33.9847,9.0517618,211.26505,55.833898,0.14693081,0.078906105,213.84567,3.8123652,3.0044796,0.062634156,116.90884,-0.025649604,7.11237E-06,0.74426144,1.1607039,1.8945823,0.13057414,1.8392232,1.7626996
704,11791,iodine//[RoW] iodine production,II,0.017726049,0.13901252,0.18448981,0.34122838,0.1045681,0.21522098,0.21752084,0.53730992,0.07040795,5.5398409,1.9010757,0.007968787,0.000170966,0.29133886,0.14317195,0.006967613,0.000385816,0.068177592,-0.000159708,7.77997E-07,0.007121213,0.010700449,0.017796759,0.000627943,0.017640253,3.3519686
705,10624,"iron (III) chloride, without water, in 40% solution state//[RoW] iron (III) chloride production, product in 40% solution state",Cl[Fe](Cl)Cl,0.008922584,0.059069571,0.015825801,0.083817956,0.017585289,0.046553023,0.034125427,0.098263739,0.069653666,0.79290781,0.22659985,0.000689271,0.00014533,0.17925766,0.038678291,0.002021104,0.000140972,0.11633243,-0.000100573,3.74794E-07,0.002394629,0.002584167,0.004150381,8.05814E-05,0.011203431,0.015998868
710,11794,iron sulfate//[RoW] iron sulfate production,[O-]S(=O)(=O)[O-].[Fe+2],0.002640412,0.018047441,0.004403351,0.025091204,0.005159168,0.013915571,0.010151417,0.029226156,0.020347201,0.23484123,0.066872647,0.00020567,4.48262E-05,0.051190545,0.011282453,0.000572087,3.08321E-05,0.036218693,-2.80741E-05,1.0279E-08,0.000718206,0.000709646,0.001194421,1.80066E-05,0.002764803,0.001297799
711,4649,iron(II) chloride//[GLO] iron(II) chloride production,Cl[Fe]Cl,0.002618272,0.017012185,0.004129826,0.023760282,0.00491337,0.013151463,0.009612666,0.027677498,0.021816097,0.218785,0.062238111,0.000184335,4.48615E-05,0.050399634,0.012813554,0.000563899,3.00533E-05,0.036225574,-2.89429E-05,1.08256E-08,0.000658089,0.000663409,0.00116418,1.7355E-05,0.002685006,0.001388071
714,11797,"iron(III) sulfate, without water, in 12.5% iron solution state//[RoW] iron(III) sulfate production, without water, in 12.5% iron solution state",[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Fe+3].[Fe+3],0.00671218,0.042212007,0.021160296,0.070084483,0.006405983,0.029900988,0.039540591,0.075847562,0.032116355,0.25266213,0.18589888,0.000865907,5.8952E-05,0.085272317,0.025807961,0.001327244,7.51657E-05,0.053688139,-4.1298E-05,4.42521E-08,0.002737684,0.002197136,0.00651792,6.99805E-05,0.005721912,0.021042838
716,13516,isobutanol//[RoW] hydroformylation of propylene,CC(C)CO,0.01088998,0.10136556,0.21768442,0.32993997,0.058556756,0.12651786,0.23016995,0.41524456,0.11221144,2.9404604,1.9415347,0.001835641,0.000131755,0.16841026,0.1128434,0.001786721,0.000261471,0.059076306,-0.000120152,2.67907E-07,0.005451895,0.011515846,0.012052512,9.70668E-05,0.01197885,0.01510776
717,11799,isobutyl acetate//[RoW] isobutyl acetate production,CC(C)COC(=O)C,0.017194732,0.13915922,0.23985406,0.39620802,0.077736369,0.16736874,0.26392998,0.50903509,0.17828666,3.788398,2.2305016,0.004460679,0.000215012,0.28533427,0.16448027,0.003662736,0.000357388,0.11609935,-0.000185687,4.27642E-07,0.007185992,0.014876142,0.016370733,0.000365426,0.021797909,0.044705459
718,11800,isohexane//[RoW] isohexane production,CCCC(C)C,0.007760214,0.039737841,0.14447741,0.19197546,0.022562841,0.043507653,0.13842077,0.20449126,0.055287437,0.90146458,1.0862888,0.002211232,7.85208E-05,0.1346925,0.18752021,0.001847939,0.000119404,0.069872147,-6.23877E-05,5.32246E-07,0.001981726,0.011210135,0.005639243,7.98233E-05,0.00933098,0.019099766
719,11802,isopropanol//[RoW] isopropanol production,CC(C)O,0.006423252,0.052153691,0.18707532,0.24565227,0.037564019,0.078215181,0.17883325,0.29461245,0.030638524,2.0283952,1.5402236,0.001190235,6.86392E-05,0.08864427,0.027232259,0.001423315,0.000140541,0.048834863,-4.5449E-05,7.28771E-08,0.002510966,0.008329883,0.006618138,9.5349E-05,0.004858367,0.014694537
720,11803,isopropyl acetate//[RoW] isopropyl acetate production,CC(C)OC(=O)C,0.014505545,0.10843546,0.21933348,0.34227448,0.064030496,0.13604081,0.23057167,0.43064298,0.12675248,3.1792057,1.9702643,0.004278759,0.000178224,0.23797545,0.11589976,0.003548605,0.00028157,0.11170097,-0.000140251,3.20483E-07,0.005333586,0.012384932,0.012910372,0.000392619,0.017565615,0.046863629
722,11804,isopropylamine//[RoW] isopropylamine production,CC(C)N,0.015388688,0.10671408,0.26591001,0.38801277,0.070911869,0.14913549,0.26289064,0.48293801,0.066717991,3.7546558,2.2546458,0.003644868,0.000148142,0.25185493,0.079326368,0.004276424,0.001487148,0.10945839,-0.00011048,2.21864E-07,0.005214582,0.013200516,0.01362667,0.000300049,0.014233313,0.045041012
723,11805,isoproturon//[RoW] isoproturon production,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,0.036378162,0.29036541,0.28050794,0.60725151,0.1413101,0.33109375,0.35755005,0.8299539,0.26022105,7.1524429,2.9511883,0.005510164,0.000491536,1.366703,0.19572173,0.020394535,0.005106041,0.32979695,-0.000381706,8.6525E-07,0.014185705,0.024398057,0.029817333,0.002026711,0.042149553,0.11450436
727,11806,kaolin//[RoW] kaolin production,O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O,0.000910133,0.010274249,0.004909,0.016093382,0.004519729,0.010726065,0.008448252,0.023694046,0.008200765,0.23066176,0.072810765,0.00020692,1.28998E-05,0.014210157,0.008244739,0.000138062,2.33241E-05,0.002736975,-1.24066E-05,1.97284E-08,0.000556867,0.000613964,0.001019033,9.54443E-06,0.001109967,0.003154013
733,11807,lactic acid//[RoW] lactic acid production,CC(C(=O)O)O,0.018926666,0.14377426,0.21718239,0.37988332,0.080218847,0.17823215,0.23764608,0.49609708,0.11852025,4.178651,2.0217443,0.003193856,0.000267203,0.41846387,0.097145597,0.005835915,0.003069008,0.14563786,-0.000170446,3.71935E-07,0.00705918,0.011954488,0.016280846,0.000493768,0.01934782,0.058943815
741,15042,lead//[GLO] primary lead production from concentrate,[Pb],0.11295309,1.0875726,0.1642279,1.3647536,0.044451771,0.38859375,0.16672385,0.59976937,0.15250471,2.0284418,0.45433072,0.008276799,0.001544168,12.010823,0.04342124,0.011731778,0.000994809,2.3895173,-0.00025768,7.97668E-08,0.012989776,0.016332817,0.046572979,0.000213537,0.022228109,0.013489053
764,4907,"lithium carbonate//[GLO] lithium carbonate production, from concentrated brine",[Li+].[Li+].C(=O)([O-])[O-],0.026611866,0.1579723,0.058228897,0.24281306,0.054775916,0.11820898,0.087782554,0.26076745,0.2971268,2.1598313,0.65506408,0.001951268,0.000246711,0.67100144,0.092712774,0.00423201,0.001603003,0.14895824,-0.001053175,1.92012E-07,0.00610237,0.009915553,0.015950033,0.000231299,0.057329624,0.04127933
765,4908,lithium chloride//[GLO] lithium chloride production,[Li+].[Cl-],0.035095043,0.22936483,0.083728662,0.34818853,0.087118359,0.19679997,0.13595925,0.41987758,0.35351294,3.8224502,1.0218114,0.002919262,0.000387115,0.97706371,0.15968705,0.008872986,0.001679902,0.23564921,-0.001077973,5.44063E-07,0.0094834,0.01342973,0.021952876,0.00068142,0.06674593,0.069529916
766,11866,lithium fluoride//[RoW] lithium fluoride production,[Li+].[F-],0.060937092,0.34898762,0.17469133,0.58461605,0.12692767,0.43034479,0.22949344,0.7867659,0.5518748,5.4204574,1.7750834,0.005386719,0.000565654,10.953587,0.21890048,0.010779088,0.029742582,0.40023841,-0.001680597,4.81104E-07,0.015155059,0.022013805,0.043898281,0.000583881,0.1052195,0.12002787
767,11867,lithium hexafluorophosphate//[RoW] lithium hexafluorophosphate production,[Li+].F[P-](F)(F)(F)(F)F,0.16109247,0.96640623,0.61711012,1.7446088,0.41691141,1.3170823,0.80164042,2.5356342,1.4150173,18.955049,6.4306731,0.018201129,0.001747645,13.924859,1.1712787,0.19157918,0.008383538,1.0569275,-0.001409613,2.66367E-06,0.051713257,0.065708759,0.14138696,0.0238249,0.18373949,0.38866364
768,4911,lithium hydroxide//[GLO] lithium hydroxide production,[Li+].[OH-],0.052731707,0.32422449,0.14252093,0.51947713,0.133884,0.28373672,0.20233843,0.61995916,0.5285881,5.8691587,1.5374645,0.004186263,0.000499253,1.2301086,0.22557003,0.00934553,0.002732501,0.30945024,-0.001771419,4.62254E-07,0.012993642,0.020696103,0.031587174,0.000497235,0.10733965,0.074920234
769,4912,lithium manganese oxide//[GLO] lithium manganese oxide production,[Li+].[O-][Mn]=O.O=[Mn]=O,0.024498021,0.16132365,0.11002718,0.29584885,0.089530704,0.18455375,3.5791213,3.8532057,0.24722317,4.2635387,1.2624904,0.002444851,0.000304371,0.37755985,0.26782803,0.003738682,0.000732141,73.982412,-0.000577181,3.23433E-07,0.007409372,0.010944583,0.016982158,0.000189897,0.056674611,0.082447609
771,11874,magnesium oxide//[RoW] magnesium oxide production,O=[Mg],0.00451258,0.11451581,0.00312704,0.12215543,0.019981931,0.056570497,0.006862328,0.083414756,0.007299996,1.1136036,0.056612868,0.024689694,1.1404E-05,0.35852328,0.008422413,0.021142345,0.000146839,0.002362622,-9.20556E-06,8.13468E-09,0.003758072,0.001476268,0.001620252,2.76772E-05,0.000941255,0.001440436
772,11875,magnesium sulfate//[RoW] magnesium sulfate production,[O-]S(=O)(=O)[O-].[Mg+2],0.00158851,0.037657346,0.006714953,0.045960809,0.008368656,0.028447608,0.01493029,0.051746555,0.010810028,0.43793873,0.12545124,0.000331865,2.55164E-05,0.023979141,0.020080856,0.000211627,5.10207E-05,0.002918257,-2.53289E-05,1.66612E-08,0.002685973,0.001298314,0.001863318,1.3968E-05,0.001965468,0.002154261
